bin_index,bin_from,bin_to,interpolation
1,0,0,0
2,0,0.01,0.005
3,0.01,0.02,0.015
4,0.02,0.03,0.025
5,0.03,0.04,0.035
6,0.04,0.05,0.045
7,0.05,0.06,0.055
8,0.06,0.07,0.065
9,0.07,0.08,0.075
10,0.08,0.09,0.085
11,0.09,0.1,0.095
12,0.1,0.11,0.105
13,0.11,0.12,0.115
14,0.12,0.13,0.125
15,0.13,0.14,0.135
16,0.14,0.15,0.145
17,0.15,0.16,0.155
18,0.16,0.17,0.165
19,0.17,0.18,0.175
20,0.18,0.19,0.185
21,0.19,0.2,0.195
22,0.2,0.25,0.225
23,0.25,0.3,0.275
24,0.3,0.35,0.325
25,0.35,0.4,0.375
26,0.4,0.45,0.425
27,0.45,0.5,0.475
28,0.5,0.55,0.525
29,0.55,0.6,0.575
30,0.6,0.65,0.625
31,0.65,0.7,0.675
32,0.7,0.75,0.725
33,0.75,0.8,0.775
34,0.8,0.85,0.825
35,0.85,0.9,0.875
36,0.9,1,0.95
37,1,1,1
